date,worm_strain,compound,attempts
20191018,N2,Water,0
20191018,N2,Water,1
20191018,N2,Water,0
20191018,N2,Water,0
20191018,N2,Fructose,6
20191018,N2,Fructose,6
20191018,N2,Fructose,6
20191018,N2,Fructose,6
20191018,N2,Glycerol,6
20191018,N2,Glycerol,5
20191018,N2,Glycerol,6
20191018,N2,Glycerol,4
20191018,N2,Acetylcholine,0
20191018,N2,Acetylcholine,2
20191018,N2,Acetylcholine,0
20191018,N2,Acetylcholine,0
20191018,VC657,Water,0
20191018,VC657,Water,0
20191018,VC657,Water,0
20191018,VC657,Water,0
20191018,VC657,Fructose,6
20191018,VC657,Fructose,6
20191018,VC657,Fructose,2
20191018,VC657,Fructose,4
20191018,VC657,Glycerol,0
20191018,VC657,Glycerol,0
20191018,VC657,Glycerol,0
20191018,VC657,Glycerol,0
20191018,VC657,Acetylcholine,0
20191018,VC657,Acetylcholine,0
20191018,VC657,Acetylcholine,0
20191018,VC657,Acetylcholine,1
20191018,ZAM7,Water,0
20191018,ZAM7,Water,0
20191018,ZAM7,Water,2
20191018,ZAM7,Water,0
20191018,ZAM7,Fructose,6
20191018,ZAM7,Fructose,3
20191018,ZAM7,Fructose,6
20191018,ZAM7,Fructose,6
20191018,ZAM7,Glycerol,3
20191018,ZAM7,Glycerol,1
20191018,ZAM7,Glycerol,0
20191018,ZAM7,Glycerol,6
20191018,ZAM7,Acetylcholine,1
20191018,ZAM7,Acetylcholine,4
20191018,ZAM7,Acetylcholine,3
20191018,ZAM7,Acetylcholine,4
20191108,N2,Water,0
20191108,N2,Water,0
20191108,N2,Water,0
20191108,N2,Water,0
20191108,N2,Fructose,6
20191108,N2,Fructose,6
20191108,N2,Fructose,6
20191108,N2,Fructose,6
20191108,N2,Acetylcholine,0
20191108,N2,Acetylcholine,0
20191108,N2,Acetylcholine,0
20191108,N2,Acetylcholine,0
20191108,VC657,Water,0
20191108,VC657,Water,0
20191108,VC657,Water,0
20191108,VC657,Water,0
20191108,VC657,Fructose,6
20191108,VC657,Fructose,6
20191108,VC657,Fructose,6
20191108,VC657,Fructose,2
20191108,VC657,Acetylcholine,0
20191108,VC657,Acetylcholine,0
20191108,VC657,Acetylcholine,0
20191108,VC657,Acetylcholine,1
20191108,ZAM7,Water,0
20191108,ZAM7,Water,0
20191108,ZAM7,Water,0
20191108,ZAM7,Water,0
20191108,ZAM7,Fructose,2
20191108,ZAM7,Fructose,6
20191108,ZAM7,Fructose,6
20191108,ZAM7,Fructose,5
20191108,ZAM7,Acetylcholine,6
20191108,ZAM7,Acetylcholine,3
20191108,ZAM7,Acetylcholine,4
20191108,ZAM7,Acetylcholine,6
20191115,N2,Water,0
20191115,N2,Water,0
20191115,N2,Water,0
20191115,N2,Water,0
20191115,N2,Fructose,6
20191115,N2,Fructose,6
20191115,N2,Fructose,6
20191115,N2,Fructose,4
20191115,N2,Acetylcholine,0
20191115,N2,Acetylcholine,0
20191115,N2,Acetylcholine,0
20191115,N2,Acetylcholine,3
20191115,VC657,Water,0
20191115,VC657,Water,0
20191115,VC657,Water,0
20191115,VC657,Water,2
20191115,VC657,Fructose,6
20191115,VC657,Fructose,6
20191115,VC657,Fructose,6
20191115,VC657,Fructose,2
20191115,VC657,Fructose,6
20191115,VC657,Acetylcholine,0
20191115,VC657,Acetylcholine,0
20191115,VC657,Acetylcholine,0
20191115,VC657,Acetylcholine,1
20191115,ZAM7,Water,0
20191115,ZAM7,Water,0
20191115,ZAM7,Water,0
20191115,ZAM7,Water,0
20191115,ZAM7,Fructose,6
20191115,ZAM7,Fructose,6
20191115,ZAM7,Fructose,6
20191115,ZAM7,Fructose,6
20191115,ZAM7,Acetylcholine,0
20191115,ZAM7,Acetylcholine,6
20191115,ZAM7,Acetylcholine,3
20191115,ZAM7,Acetylcholine,6
20191115,ZAM7,Acetylcholine,0
20200210,N2,Water,0
20200210,N2,Water,0
20200210,N2,Water,0
20200210,N2,Water,0
20200210,N2,Fructose,6
20200210,N2,Fructose,6
20200210,N2,Fructose,6
20200210,N2,Fructose,5
20200210,N2,Oxotremorine,0
20200210,N2,Oxotremorine,1
20200210,N2,Oxotremorine,0
20200210,N2,Oxotremorine,0
20200210,VC657,Water,0
20200210,VC657,Water,0
20200210,VC657,Water,0
20200210,VC657,Water,0
20200210,VC657,Fructose,4
20200210,VC657,Fructose,3
20200210,VC657,Fructose,6
20200210,VC657,Fructose,6
20200210,VC657,Oxotremorine,0
20200210,VC657,Oxotremorine,0
20200210,VC657,Oxotremorine,0
20200210,VC657,Oxotremorine,0
20200210,ZAM7,Water,0
20200210,ZAM7,Water,0
20200210,ZAM7,Water,0
20200210,ZAM7,Water,0
20200210,ZAM7,Fructose,6
20200210,ZAM7,Fructose,6
20200210,ZAM7,Fructose,5
20200210,ZAM7,Fructose,6
20200210,ZAM7,Oxotremorine,6
20200210,ZAM7,Oxotremorine,6
20200210,ZAM7,Oxotremorine,5
20200210,ZAM7,Oxotremorine,6
20200227,N2,Water,0
20200227,N2,Water,0
20200227,N2,Water,0
20200227,N2,Water,0
20200227,N2,Fructose,6
